Designator,MPN,QTY,Link,,,,,,,,MANUFACTURER_PART_NUMBER,MF,MOUSER_PART_NUMBER,MOUSER_PRICE-STOCK,MPN,OC_FARNELL,OC_NEWARK,PROD_ID,SPICEPREFIX,VALUE
LED2-2-17,UHD1110-FKA,1,https://www.digikey.com/product-detail/en/cree-inc/UHD1110-FKA-CL1A13R3Q1BBQFMF3/UHD1110-FKA-CL1A13R3Q1BBQFMF3CT-ND/9959494 ,,,,,,,,,,,,,,,,,
LED2-2-18,UHD1110-FKA,1,https://www.digikey.com/product-detail/en/cree-inc/UHD1110-FKA-CL1A13R3Q1BBQFMF3/UHD1110-FKA-CL1A13R3Q1BBQFMF3CT-ND/9959494 ,,,,,,,,,,,,,,,,,
LED2-2-19,UHD1110-FKA,1,https://www.digikey.com/product-detail/en/cree-inc/UHD1110-FKA-CL1A13R3Q1BBQFMF3/UHD1110-FKA-CL1A13R3Q1BBQFMF3CT-ND/9959494 ,,,,,,,,,,,,,,,,,
LED2-2-20,UHD1110-FKA,1,https://www.digikey.com/product-detail/en/cree-inc/UHD1110-FKA-CL1A13R3Q1BBQFMF3/UHD1110-FKA-CL1A13R3Q1BBQFMF3CT-ND/9959494 ,,,,,,,,,,,,,,,,,
LED3-1-1,UHD1110-FKA,1,https://www.digikey.com/product-detail/en/cree-inc/UHD1110-FKA-CL1A13R3Q1BBQFMF3/UHD1110-FKA-CL1A13R3Q1BBQFMF3CT-ND/9959494 ,,,,,,,,,,,,,,,,,
LED3-1-2,UHD1110-FKA,1,https://www.digikey.com/product-detail/en/cree-inc/UHD1110-FKA-CL1A13R3Q1BBQFMF3/UHD1110-FKA-CL1A13R3Q1BBQFMF3CT-ND/9959494 ,,,,,,,,,,,,,,,,,
LED3-1-3,UHD1110-FKA,1,https://www.digikey.com/product-detail/en/cree-inc/UHD1110-FKA-CL1A13R3Q1BBQFMF3/UHD1110-FKA-CL1A13R3Q1BBQFMF3CT-ND/9959494 ,,,,,,,,,,,,,,,,,
LED3-1-4,UHD1110-FKA,1,https://www.digikey.com/product-detail/en/cree-inc/UHD1110-FKA-CL1A13R3Q1BBQFMF3/UHD1110-FKA-CL1A13R3Q1BBQFMF3CT-ND/9959494 ,,,,,,,,,,,,,,,,,
LED3-1-5,UHD1110-FKA,1,https://www.digikey.com/product-detail/en/cree-inc/UHD1110-FKA-CL1A13R3Q1BBQFMF3/UHD1110-FKA-CL1A13R3Q1BBQFMF3CT-ND/9959494 ,,,,,,,,,,,,,,,,,
LED3-1-6,UHD1110-FKA,1,https://www.digikey.com/product-detail/en/cree-inc/UHD1110-FKA-CL1A13R3Q1BBQFMF3/UHD1110-FKA-CL1A13R3Q1BBQFMF3CT-ND/9959494 ,,,,,,,,,,,,,,,,,
LED3-1-7,UHD1110-FKA,1,https://www.digikey.com/product-detail/en/cree-inc/UHD1110-FKA-CL1A13R3Q1BBQFMF3/UHD1110-FKA-CL1A13R3Q1BBQFMF3CT-ND/9959494 ,,,,,,,,,,,,,,,,,
